,link,uploaded_date,views,likes,dislikes
270,https://www.youtube.com/watch?v=bhcxl2Dbq2s,20 Feb 2018,"2,188,793","26,932","6,573"
271,https://www.youtube.com/watch?v=wavEEq0l5jY,14 May 2019,"6,905,256","19,696","13,129"
272,https://www.youtube.com/watch?v=yfMUddrdKGM,8 May 2020,"1,115",197,None
273,https://www.youtube.com/watch?v=Kb4kWuQsSxU,23 Jul 2020,43,1 like,1 dislike
274,https://www.youtube.com/watch?v=frgrElZI5Cc,17 Jul 2020,"36,134","1,049",26
275,https://www.youtube.com/watch?v=jF_FI21zCNs,29 Mar 2015,"56,664",730,8
276,https://www.youtube.com/watch?v=OQUibxvwHgE,20 Aug 2020,10,None,None
277,https://www.youtube.com/watch?v=Y9cfuvYF-iY,14 Aug 2020,"83,705","2,987",90
278,https://www.youtube.com/watch?v=15aMdVQxllY,5 Oct 2018,"122,639","2,074",44
279,https://www.youtube.com/watch?v=xnwwwUe4LCE,27 Oct 2019,"8,777",124,5
280,https://www.youtube.com/watch?v=XWYiyRUihRc,18 Jul 2014,"84,491","1,038",77
281,https://www.youtube.com/watch?v=NuHKg7G3UvY,23 Sep 2020,172,20,None
282,https://www.youtube.com/watch?v=DztogWiMnMg,1 Jun 2017,"12,594,589","28,487","12,043"
283,https://www.youtube.com/watch?v=T22m5JqEA20,31 May 2020,"2,745",122,5
284,https://www.youtube.com/watch?v=LzazEfnUKPY,27 Apr 2020,1 view,None,None
285,https://www.youtube.com/watch?v=u1Y_G1bvMso,31 Aug 2020,9,3,None
